徃,徃,往
後,後,后,後姓,後姓
徑,徑,径
從,從,从
徠,徠,徕
徧,徧,遍
復,復,复,復甦,复苏
徵,徵,征,徵狀,症状
徹,徹,彻
怱,怱,匆
怳,怳,恍
恆,恆,恒
恠,恠,怪
恡,恡,吝
恥,恥,耻
悅,悅,悦
悞,悞,悮
悤,悤,匆
悵,悵,怅
悶,悶,闷,悶著,闷着
悽,悽,凄
惏,惏,婪,惏悷,惏悷,惏慄,惏慄
惡,惡,恶
惥,惥,恿
惱,惱,恼
惲,惲,恽
惷,惷,蠢
惻,惻,恻
愛,愛,爱,愛護著,爱护着,愛著,爱着,愛著書,爱著书,愛著作,爱著作,愛著名,爱著名,愛著錄,爱著录,愛著稱,爱著称,愛著者,爱著者,愛著述,爱著述,愛滋,艾滋
愜,愜,惬
愨,愨,悫
愴,愴,怆
愷,愷,恺
愽,愽,博
愾,愾,忾
慄,慄,栗
態,態,态
慍,慍,愠
慘,慘,惨,慘澹,惨淡
慙,慙,惭
慚,慚,惭
慟,慟,恸
慣,慣,惯,慣著,惯着,慣著書,惯著书,慣著作,惯著作,慣著名,惯著名,慣著錄,惯著录,慣著稱,惯著称,慣著者,惯著者,慣著述,惯著述
慤,慤,悫
慪,慪,怄
慫,慫,怂,慫慂,怂恿
慮,慮,虑
慳,慳,悭
慴,慴,慑
慶,慶,庆,慶餘,庆馀
慼,慼,戚
慽,慽,戚
慾,慾,欲
憂,憂,忧
憇,憇,憩
憊,憊,惫
憐,憐,怜
憑,憑,凭,憑藉,凭借,憑著,凭着,憑著作,凭著作,憑著名,凭著名,憑著者,凭著者
憒,憒,愦
憚,憚,惮
憤,憤,愤
憫,憫,悯
憮,憮,怃
憲,憲,宪
憶,憶,忆
懀,懀,𢙓
懇,懇,恳
應,應,应,應用程式,应用程序,應著,应着,應著書,应著书,應著作,应著作,應著名,应著名,應著錄,应著录,應著稱,应著称,應著者,应著者,應著述,应著述
懌,懌,怿
懍,懍,懔
懟,懟,怼
懣,懣,懑
懨,懨,恹
懲,懲,惩
懶,懶,懒
懷,懷,怀,懷著,怀着,懷著書,怀著书,懷著作,怀著作,懷著名,怀著名,懷著錄,怀著录,懷著稱,怀著称,懷著者,怀著者,懷著述,怀著述
懸,懸,悬
懺,懺,忏
懼,懼,惧
懾,懾,慑
戀,戀,恋,戀著,恋着,戀著書,恋著书,戀著作,恋著作,戀著名,恋著名,戀著錄,恋著录,戀著稱,恋著称,戀著者,恋著者,戀著述,恋著述
戇,戇,戆
戔,戔,戋
戞,戞,戛
戧,戧,戗
戩,戩,戬
戯,戯,戏
戰,戰,战,戰著,战着,戰著書,战著书,戰著作,战著作,戰著名,战著名,戰著錄,战著录,戰著稱,战著称,戰著者,战著者,戰著述,战著述
戱,戱,戯
戲,戲,戏
戶,戶,户
戹,戹,厄
扞,扞,捍,扞格,扞格
抝,抝,拗
拋,拋,抛
拚,拚,拼,拚命,拚命,拚搏,拚搏,拚死,拚死
挩,挩,捝
挱,挱,挲
挵,挵,弄
挾,挾,挟
捄,捄,救
捨,捨,舍
捫,捫,扪
捲,捲,卷
掃,掃,扫,掃瞄,扫描,掃瞄器,扫描仪
掄,掄,抡
掆,掆,㧏
掗,掗,挜
